name,inn
"ООО ""БИЗНЕС РЕШЕНИЯ""",6623065889
"ООО ""БОНГО""",6623097295
"ООО ""ВНЕДРЕНЧЕСКИЙ ЦЕНТР ЕРШОВА""",6623124982
"ООО ""ВДЕЛО.ДЕВ""",6623141177
"АО ""ДИАЙПИ""",6625034780
"ООО ""АСС-БИЗНЕС СОФТ""",6630008578
"ООО ""АВМ-СМАРТСИСТЕМС""",6658005707
"ООО ""АГЕНТСТВО СОПРОВОЖДЕНИЯ""",6658277972
"ООО ""АЙДЕСК""",6658389235
"ООО ""1С-РАРУС ЕКАТЕРИНБУРГ""",6658518233
"ООО ""АЙТИСИ""",6658537444
"ООО ""АЗБУКА-СЕТЬ""",6658551618
"ООО ""АЛЬТО""",6658554619
"АО ""АППЕКСЛАБ""",6658563525
"ООО ""БИТ""",6659148232
"ООО ""1-Й СОВЕТНИК""",6659178653
"ООО ""66 БИТ""",6659195024
"АО ""ВОСТОЧНЫЙ ВЕТЕР""",6662090423
"АО ""ПФ ""СКБ КОНТУР""",6663003127
"АО ""ИЦ ""УРАЛТЕХЭНЕРГО""",6670013045
"ООО ""БИП""",6670079720
"ООО ""АЙДЕКО СОФТВЕР""",6670099902
"ООО  ""АЙДЕКО""",6670208848
"ООО ""ВЕБМОТОР""",6670218268
"ООО  ""АВАТАРА""",6670219511
"ООО ""741 СТУДИОС.РУ""",6670281911
"ООО ""БИЗЕРРА.РУ""",6670348115
"ООО  ВЦ ""УРАЛСИСТЕМ""",6670352560
"ООО ""АКОММЕРС""",6670380574
"ООО ""ВЕБТИМ.ПРО""",6670420636
"ООО ""АЙ ТИ ПРОМ""",6670428642
"ООО ""АКСАЛИТ СОФТ""",6670451183
"ООО ""АЛЬТЕК СИСТЕМС""",6670486612
"ООО ""ВОЙСМАН""",6670487084
"ООО ""ВАЙТЛИСТ""",6670504011
"ООО ""АНАНАС ТЕХНОЛОГИИ""",6670511227
"ООО ""АЙПИБОТ""",6670512862
"ООО ""БУРАВЧИК""",6670524995
"ООО ""АЙТИ-СЕТИ ГРУПП""",6670529055
"ООО ""АЕС СЕРВИС""",6671001229
"ООО ""ВАЙРЛЕСС КЭТ""",6671082683
"ООО ""БАНКЛАБ""",6671087219
"ООО ""ВЦ ТЕХНОЛОГИИ АВТОМАТИЗАЦИИ""",6671089760
"ООО ""БЮРО 1010""",6671092723
"ООО ""БИЛЛИНГ ОНЛАЙН РЕШЕНИЯ""",6671099510
"АО ""НАУМЕН""",6671111140
"АО ""НАУ-СЕРВИС""",6671116364
"ООО ""ВЕДИСОФТ""",6671187742
"ООО ""БИЗНЕС РЕШЕНИЯ""",6671204620
"ООО ""ВИКЭТ ТЕХ""",6671210720
"ООО ""АСК-ЦИФРА""",6671212580
"ООО ""АЙТИМИ""",6671229858
"АО ""ЭПСИЛОН""",6671229872
"ООО ""ВНЕОЧЕРЕДИ""",6671230268
"ООО ""АКТЕК""",6671244077
